"154	"," 0.577100635	","  [('indiana'	 -0.08461745521693011)	 ('Asimov'	 0.07178064849425922)	 ('Florida'	 -0.07137036253029833)	 ('Organization'	 -0.060766977237463445)	 ('Schnitzius'	 -0.05843648373942588)	 ('stamp'	 0.05229350198842061)]"
"675	"," 0.491440475	","  [('constructive'	 0.1075247072014292)	 ('Bureau'	 0.09940958030881171)	 ('KSAND'	 0.09715039725392013)	 ('newton'	 0.09434993856895868)	 ('lemur'	 -0.08332947333824918)	 ('cornell'	 -0.08259070573823254)]"
"72	"," 0.483699083	","  [('Todd'	 -0.11593362602889999)	 ('LaTech'	 0.11111361042429685)	 ('loud'	 -0.10867850106657326)	 ('gravity'	 0.08772448771663179)	 ('voices'	 -0.07037631708822792)	 ('condemned'	 -0.051476077442534816)]"
"236	"," 0.466442227	","  [('Supercomputer'	 -0.10064695548925448)	 ('Caused'	 0.09980918908320863)	 ('Computations'	 -0.09955899976921054)	 ('Genocide'	 0.08107601783263978)	 ('Organization'	 -0.05958094615497134)	 ('jews'	 -0.04374191886497693)]"
"195	"," 0.422783732	","  [('agonizing'	 -0.27251448475554463)	 ('carpenter'	 -0.19724283877917032)	 ('kaflowitz'	 0.09608450877301657)	 ('cbnewsj'	 0.09598751069746445)	 ('Gotta'	 0.05858667321825655)	 ('Distribution'	 0.05750341544411597)]"
"282	"," 0.409458518	","  [('Path'	 -0.21920935770086233)	 ('output'	 0.17882291181838894)	 ('feedback'	 -0.1454050243322264)	 ('Julian'	 -0.13215713432150963)	 ('Arlington'	 0.10978245494879976)	 ('UNLIKE'	 0.10203323203822229)]"
"184	"," 0.403287888	","  [('Organization'	 -0.07867434678967858)	 ('survey'	 -0.07524448232663729)	 ('Newsreader'	 0.0644649299780012)	 ('PL9'	 0.06332404249584256)	 ('replies'	 -0.06289457104229065)	 ('typing'	 0.056158453975279785)]"
"24	"," 0.402572751	","  [('sincere'	 -0.12253136809530583)	 ('realised'	 0.0840249572385059)	 ('refuses'	 0.07314206184629195)	 ('Organization'	 -0.07121160389319615)	 ('disguise'	 -0.07069997489279468)	 ('Newsreader'	 0.06992001090519707)]"
"116	"," 0.397802591	","  [('Rabbi'	 -0.1298979450017811)	 ('scriptures'	 -0.11688049492912758)	 ('Host'	 0.07843823327539139)	 ('Posting'	 0.07524779954581495)	 ('Nntp'	 0.05801433723648759)	 ('Organization'	 -0.05209368824391997)]"
"318	"," 0.315867305	","  [('Return'	 -0.2542325543997692)	 ('Asimov'	 0.1558270730055026)	 ('Conversions'	 -0.13990625890764602)	 ('Carl'	 -0.10199276402150546)	 ('Nntp'	 0.08604343631410231)	 ('Host'	 0.08252069853499905)]"
"209	"," 0.313685298	","  [('Carl'	 -0.27823535610125444)	 ('Scouts'	 0.16864333936473672)	 ('Boy'	 0.15124968668814393)	 ('Organization'	 -0.10351591977452543)	 ('Comp'	 -0.08653439752179298)	 ('Scout'	 0.07172771110338497)]"
"315	"," 0.30275166	","  [('Alan'	 -0.17011627091890152)	 ('creationists'	 0.12279469364435537)	 ('Organization'	 -0.05723986414598984)	 ('Olsen'	 0.05536586780633212)	 ('atone'	 -0.05010891963791212)	 ('Bill'	 0.04568646985763723)]"
"669	"," 0.301971138	","  [('Russell'	 0.08296069481519078)	 ('Bertrand'	 0.06981914871463685)	 ('Organization'	 -0.051649757665031125)	 ('NAME'	 0.0371128820319981)	 ('request'	 0.03597317828136035)	 ('Adelaide'	 0.034846736919686684)]"
"275	"," 0.289314985	","  [('ocis'	 -0.19239145493821916)	 ('astro'	 -0.18937445455587434)	 ('Newsreader'	 0.11451336526596288)	 ('Carl'	 -0.11291278764247055)	 ('Posting'	 0.1011150106449831)	 ('Host'	 0.09638621026593384)]"
"232	"," 0.284824729	","  [('warns'	 -0.08856043478511778)	 ('Host'	 0.07509860640048457)	 ('Posting'	 0.0730686851461125)	 ('Organization'	 -0.07008585130026028)	 ('sincere'	 -0.06511190214646606)	 ('Yet'	 0.05680549921410389)]"
"59	"," 0.264706731	","  [('math'	 -0.12566921694823355)	 ('hole'	 -0.08125974743374746)	 ('particle'	 0.07489836358703948)	 ('spacsun'	 0.05925961281770604)	 ('sinners'	 -0.057889277905659495)	 ('IASTATE'	 0.053821126155256166)]"
"229	"," 0.150972247	","  [('Newsreader'	 0.09942758890133943)	 ('Warning'	 -0.0958862137944826)	 ('TIN'	 0.07509597056689395)	 ('orst'	 -0.07201813848982598)	 ('PL8'	 0.06552079255590465)	 ('Organization'	 -0.05924782913944502)]"
"179	"," 0.040933013	","  [('hadith'	 0.21172095821964002)	 ('expertise'	 -0.2017606860995715)	 ('discussion'	 -0.17267738541940983)	 ('Qur'	 0.12424359348382387)	 ('Knowledge'	 -0.1119064889316823)	 ('Rashid'	 0.10603458097505401)]"
"277	"," 0.026109099	","  [('Quoting'	 -0.19042616248528868)	 ('Asimov'	 0.11856704197131009)	 ('llnl'	 0.09498028663569444)	 ('Posting'	 0.0808901805453384)	 ('Host'	 0.07376832581946952)	 ('Organization'	 -0.06931470381163542)]"
